number,contact,call_history,sms_history,local,answer,duration,cnam,flag
2485367943,Yes,Yes,Yes,True,Yes,671,No,No
9063470733,No,Yes,Yes,True,No,0,No,No
8871031854,Yes,Yes,Yes,False,Yes,244,No,No
7347416346,No,No,Yes,True,Yes,82,Yes,No
2317026894,No,Yes,Yes,True,Yes,50,Yes,No
9062883596,No,No,No,True,No,0,No,No
6164983929,No,No,No,True,Yes,87,No,FLAG
6890131011,No,No,No,False,Yes,59,Yes,FLAG
8106434328,Yes,Yes,Yes,True,Yes,272,No,No
9474565332,Yes,Yes,Yes,True,Yes,378,No,FLAG
4345844863,No,No,No,False,No,0,Yes,No
2483531697,No,No,No,True,Yes,89,Yes,No
7345017449,No,No,No,True,Yes,41,No,FLAG
6165209307,No,No,No,True,Yes,17,No,No
8101482433,No,Yes,Yes,True,Yes,84,Yes,No
6163508185,Yes,Yes,Yes,True,Yes,408,Yes,No
5861505317,No,Yes,Yes,True,Yes,78,Yes,No
5241676907,No,No,No,False,No,0,Yes,FLAG
2483210279,No,No,No,True,Yes,96,No,No
9061527699,No,No,No,True,Yes,44,No,FLAG
9896239313,Yes,Yes,Yes,True,Yes,720,Yes,No
5865657981,No,No,No,True,Yes,61,Yes,FLAG
9063951078,Yes,Yes,Yes,True,Yes,54,Yes,No
5176879867,No,Yes,Yes,True,Yes,50,Yes,No
6847483376,No,No,No,False,Yes,70,No,No
9771611030,No,No,No,False,Yes,53,Yes,FLAG
6161335090,No,Yes,Yes,True,Yes,36,No,FLAG
6580930174,Yes,Yes,Yes,False,Yes,386,No,No
9063825117,No,Yes,Yes,True,Yes,2,No,No
2699998792,Yes,Yes,Yes,True,Yes,106,Yes,No
2319783959,Yes,Yes,Yes,True,Yes,267,Yes,No
7715207025,No,Yes,Yes,False,Yes,38,No,FLAG
9475290387,No,No,No,True,Yes,23,No,FLAG
5177483782,No,No,No,True,Yes,30,Yes,No
2484762493,No,No,No,True,Yes,131,No,FLAG
5172190337,No,No,No,True,Yes,68,Yes,No
9898321646,Yes,Yes,Yes,True,Yes,593,Yes,No
3877674659,No,Yes,Yes,False,No,0,No,No
6166909085,Yes,Yes,Yes,True,Yes,790,No,No
2699733879,No,No,No,True,No,0,No,FLAG
5410337747,Yes,Yes,No,False,Yes,444,No,No
7345172089,No,No,Yes,True,Yes,579,No,FLAG
9892163447,No,No,No,True,No,0,Yes,FLAG
2315851853,Yes,Yes,Yes,True,Yes,611,Yes,No
2484647911,Yes,Yes,Yes,True,Yes,516,Yes,No
2311400573,Yes,Yes,No,True,Yes,452,Yes,FLAG
2486413559,No,No,Yes,True,Yes,28,No,No
8108757376,Yes,Yes,Yes,True,Yes,240,No,No
3135865206,Yes,Yes,Yes,True,Yes,666,No,No
5178940120,Yes,Yes,No,True,Yes,106,Yes,No
6163455571,No,No,No,True,Yes,226,Yes,No
5865198425,Yes,Yes,Yes,True,Yes,156,No,No
5862133213,No,Yes,Yes,True,No,0,Yes,FLAG
3134768849,No,No,No,True,Yes,84,No,FLAG
5862091758,No,Yes,Yes,True,No,0,Yes,No
9065289101,No,No,Yes,True,Yes,66,No,No
2483081968,Yes,Yes,Yes,True,Yes,191,Yes,No
4824426919,No,Yes,Yes,False,Yes,28,Yes,No
2696749202,No,No,Yes,True,Yes,258,Yes,No
2313677779,No,No,No,True,No,0,Yes,FLAG
8105878269,No,No,Yes,True,Yes,436,No,No
9066487201,No,Yes,Yes,True,No,0,Yes,No
6168224499,No,Yes,Yes,True,Yes,65,Yes,No
3874320096,No,Yes,Yes,False,No,0,Yes,No
7342245364,Yes,Yes,Yes,True,Yes,402,No,No
8255707186,Yes,No,No,False,Yes,226,No,FLAG
8106644000,No,No,No,True,No,0,Yes,FLAG
6161730664,No,Yes,Yes,True,Yes,95,No,No
5862557330,Yes,Yes,Yes,True,Yes,666,Yes,No
2485988060,No,No,Yes,True,Yes,32,No,FLAG
5173613479,No,Yes,Yes,True,Yes,506,No,No
6166500526,No,No,No,True,No,0,Yes,FLAG
2699539159,No,No,No,True,Yes,74,Yes,No
7349155512,No,No,No,True,Yes,57,Yes,FLAG
9897859500,No,Yes,Yes,True,No,0,Yes,No
2698683270,No,No,No,True,Yes,551,Yes,No
2489739096,No,Yes,Yes,True,No,0,No,No
9472950114,No,No,No,True,Yes,97,No,No
7345166549,No,No,No,True,No,0,Yes,No
3139357099,No,No,Yes,True,Yes,54,Yes,No
3652291713,Yes,Yes,Yes,False,Yes,234,Yes,No
3133572081,No,No,No,True,No,0,No,FLAG
5176546610,No,No,No,True,Yes,2,No,No
2482074094,No,Yes,Yes,True,No,0,Yes,No
7344837474,No,Yes,Yes,True,No,0,No,No
7973683955,No,No,No,False,Yes,19,Yes,No
3134967486,No,No,No,True,Yes,656,Yes,No
9068081599,No,Yes,Yes,True,Yes,92,No,No
6165447773,No,Yes,Yes,True,Yes,40,No,FLAG
9898540383,Yes,Yes,Yes,True,Yes,730,No,No
3135766905,No,No,No,True,No,0,No,FLAG
7344901519,Yes,Yes,Yes,True,Yes,50,Yes,No
8239116753,No,No,No,False,Yes,74,Yes,No
2484983208,No,Yes,Yes,True,No,0,No,No
9474141279,No,No,No,True,No,0,Yes,FLAG
9064809554,No,No,No,True,No,0,No,FLAG
2481893301,Yes,Yes,No,True,Yes,304,Yes,No
2698701563,No,No,No,True,Yes,88,No,FLAG
9061981421,No,No,No,True,Yes,55,No,No
6169176185,No,No,No,True,Yes,95,Yes,FLAG
9893231761,No,Yes,No,True,No,0,Yes,FLAG
7348821901,No,No,No,True,Yes,788,No,No
3739085664,Yes,Yes,Yes,False,Yes,784,No,No
3134115767,Yes,Yes,Yes,True,No,0,Yes,No
9478378171,No,Yes,Yes,True,No,0,Yes,No
5174107573,No,No,No,True,Yes,728,No,FLAG
4489304506,No,No,No,False,Yes,95,Yes,FLAG
9062680962,No,No,No,True,No,0,Yes,FLAG
5179831473,No,No,No,True,Yes,144,No,FLAG
2815168821,No,No,No,False,No,0,No,FLAG
8104074300,No,No,No,True,Yes,74,No,No
7112286994,Yes,Yes,Yes,False,Yes,730,Yes,No
5861319376,Yes,Yes,Yes,True,No,0,No,No
5869648164,Yes,No,Yes,True,Yes,76,Yes,No
2314072055,No,Yes,Yes,True,Yes,78,Yes,FLAG
5862619363,No,No,No,True,No,0,No,FLAG
9065654166,No,No,Yes,True,Yes,587,Yes,No
7344295216,No,No,No,True,Yes,33,No,FLAG
6163052294,No,Yes,Yes,True,Yes,92,Yes,No
3137571737,Yes,Yes,Yes,True,Yes,527,No,No
6163731270,No,Yes,No,True,No,0,No,FLAG
6358720547,No,No,No,False,Yes,125,No,FLAG
7346273755,Yes,Yes,Yes,True,No,0,Yes,No
7346106891,No,No,Yes,True,No,0,No,No
3135599422,No,No,No,True,No,0,Yes,FLAG
2314885517,Yes,Yes,Yes,True,Yes,726,Yes,No
8336877516,Yes,Yes,Yes,False,Yes,79,No,No
1096073096,No,No,No,False,Yes,24,Yes,No
9473918072,No,Yes,No,True,Yes,76,Yes,No
1095506900,No,No,No,False,No,0,No,FLAG
9062345849,No,No,No,True,No,0,No,FLAG
9477362403,No,No,No,True,Yes,573,Yes,No
4803760243,Yes,Yes,Yes,False,No,0,Yes,No
2318542404,No,Yes,No,True,No,0,No,FLAG
2488348017,No,No,No,True,Yes,151,No,FLAG
3132755116,No,No,No,True,Yes,91,Yes,No
7344935492,No,No,No,True,Yes,59,No,FLAG
5863212214,Yes,Yes,Yes,True,Yes,418,Yes,No
9893241676,Yes,Yes,Yes,True,Yes,332,Yes,No
5863763260,No,Yes,Yes,True,Yes,548,No,No
2319123815,No,Yes,Yes,True,Yes,644,No,No
6161445007,No,Yes,Yes,True,No,0,No,No
9475921467,No,No,No,True,Yes,645,Yes,No
9471933192,No,No,No,True,Yes,212,No,FLAG
5867668612,No,Yes,No,True,Yes,19,No,No
9067134239,No,No,No,True,Yes,96,No,No
6162727732,No,Yes,No,True,Yes,84,Yes,No
3135767308,Yes,Yes,No,True,Yes,670,Yes,FLAG
9066111509,No,Yes,Yes,True,No,0,No,FLAG
8101209832,Yes,Yes,Yes,True,Yes,99,Yes,No
5862195777,Yes,Yes,Yes,True,Yes,187,Yes,No
8103542222,No,No,No,True,Yes,215,No,FLAG
3134269532,No,No,No,True,Yes,72,No,FLAG
5866657805,No,Yes,Yes,True,No,0,Yes,No
9475053648,Yes,No,Yes,True,Yes,95,No,No
2317959886,Yes,Yes,Yes,True,Yes,270,Yes,No
5175088911,Yes,Yes,Yes,True,Yes,444,Yes,No
3132535274,No,No,No,True,No,0,Yes,No
8102780272,No,No,No,True,No,0,Yes,FLAG
2483120000,Yes,Yes,Yes,True,Yes,240,No,No
2697711932,Yes,Yes,Yes,True,Yes,393,No,No
9062724612,Yes,Yes,Yes,True,Yes,395,Yes,No
8107207793,No,No,No,True,Yes,75,No,FLAG
2319137303,Yes,Yes,Yes,True,Yes,653,No,No
2693289437,No,Yes,Yes,True,Yes,15,Yes,No
5862204942,No,No,No,True,No,0,Yes,FLAG
2485622954,No,No,No,True,Yes,611,No,FLAG
5173507035,No,No,No,True,No,0,No,No
2318700027,Yes,Yes,Yes,True,Yes,164,Yes,No
9478385342,No,No,No,True,No,0,Yes,No
4262979985,Yes,Yes,Yes,False,Yes,469,Yes,No
8107182964,No,No,Yes,True,Yes,18,Yes,FLAG
2312897875,Yes,Yes,Yes,True,Yes,119,No,No
5174456391,No,No,No,True,Yes,16,Yes,No
2695286471,No,Yes,Yes,True,No,0,No,No
2486473962,No,Yes,Yes,True,No,0,Yes,FLAG
7343555141,No,No,No,True,Yes,780,No,FLAG
2315120574,No,No,No,True,No,0,No,FLAG
5580036252,No,No,No,False,No,0,No,No
6166283858,No,No,Yes,True,No,0,No,No
7009049590,No,Yes,Yes,False,Yes,777,No,FLAG
5534589009,No,No,Yes,False,No,0,No,No
1917114702,Yes,Yes,Yes,False,Yes,70,Yes,No
2315499126,No,Yes,Yes,True,Yes,42,No,No
9429221401,No,Yes,Yes,False,Yes,40,Yes,No
2319926225,No,No,Yes,True,Yes,30,Yes,FLAG
5175692172,Yes,Yes,Yes,True,No,0,No,FLAG
2319222980,No,No,No,True,No,0,No,FLAG
2698678273,Yes,Yes,Yes,True,Yes,595,No,No
3137028830,No,No,No,True,Yes,24,Yes,FLAG
2317848118,No,No,No,True,No,0,No,FLAG
8109535751,Yes,Yes,No,True,No,0,Yes,No
2696823047,No,Yes,No,True,No,0,No,FLAG
2697180797,No,No,Yes,True,Yes,100,Yes,No
4317275201,No,Yes,Yes,False,Yes,742,Yes,No
5866198590,No,No,No,True,No,0,No,FLAG
1469814158,No,No,No,False,Yes,48,No,FLAG
7346378780,No,No,No,True,Yes,7,Yes,FLAG
7341717355,Yes,Yes,Yes,True,Yes,237,No,No
5176438958,No,No,No,True,Yes,65,No,FLAG
2692585028,Yes,Yes,Yes,True,Yes,467,Yes,No
9898739066,No,No,No,True,Yes,493,No,No
7348497010,Yes,Yes,Yes,True,Yes,446,Yes,No
3135250579,No,Yes,No,True,No,0,Yes,No
6165418135,No,No,No,True,Yes,88,No,No
3138290785,Yes,Yes,Yes,True,Yes,424,Yes,No
2481630894,Yes,Yes,Yes,True,Yes,90,No,No
4634331305,No,No,No,False,No,0,No,No
5179125365,No,No,No,True,Yes,99,Yes,FLAG
5868222115,No,No,No,True,Yes,3,Yes,FLAG
2315228916,Yes,No,No,True,Yes,149,No,No
4360318772,No,No,No,False,Yes,22,Yes,FLAG
2488334690,No,No,No,True,No,0,No,FLAG
8106123522,No,Yes,Yes,True,Yes,83,Yes,No
5867922430,Yes,Yes,No,True,Yes,598,No,No
8103477790,No,No,Yes,True,No,0,No,No
8106036282,No,Yes,Yes,True,No,0,No,No
2312129650,Yes,Yes,Yes,True,No,0,No,No
8108436178,No,No,No,True,Yes,63,No,FLAG
8727260852,No,No,No,False,No,0,No,FLAG
9062568558,Yes,Yes,Yes,True,Yes,358,Yes,No
5863474172,No,Yes,No,True,Yes,170,No,FLAG
3133690687,No,Yes,No,True,No,0,Yes,No
3908163201,No,No,No,False,Yes,79,Yes,FLAG
7346174612,No,Yes,No,True,Yes,12,No,FLAG
9064075163,No,No,No,True,Yes,8,No,FLAG
7342338480,No,No,No,True,Yes,529,Yes,FLAG
9065455012,No,No,No,True,No,0,No,No
2691523836,Yes,Yes,Yes,True,Yes,626,No,No
9478859455,No,No,No,True,Yes,23,No,FLAG
3134908843,Yes,Yes,Yes,True,Yes,5,No,No
3137173414,No,No,No,True,Yes,36,Yes,No
9064790123,Yes,Yes,Yes,True,Yes,620,No,No
3136262784,No,No,No,True,No,0,Yes,FLAG
5173472899,No,No,No,True,Yes,42,No,FLAG
6795183185,No,No,No,False,No,0,No,FLAG
5869778310,Yes,No,No,True,Yes,651,Yes,No
5172927562,No,No,No,True,Yes,5,Yes,FLAG
5865824735,No,Yes,No,True,No,0,Yes,No
2482956493,No,No,No,True,No,0,Yes,No
8107953145,No,No,No,True,No,0,No,FLAG
9063133608,No,Yes,Yes,True,Yes,130,Yes,No
7348517416,Yes,Yes,Yes,True,Yes,154,Yes,No
5178021014,Yes,Yes,Yes,True,Yes,468,Yes,No
2318154137,No,Yes,Yes,True,Yes,43,No,FLAG
2317517392,No,No,No,True,No,0,Yes,FLAG
5172185086,Yes,Yes,Yes,True,Yes,602,Yes,No
5176558602,No,Yes,No,True,Yes,296,No,No
2312136876,No,No,No,True,Yes,33,Yes,FLAG
3135364545,Yes,Yes,Yes,True,No,0,Yes,No
2693292427,No,No,No,True,Yes,79,Yes,FLAG
6168551840,No,Yes,Yes,True,Yes,281,No,No
5171657352,No,No,Yes,True,No,0,Yes,FLAG
5868882603,No,No,No,True,Yes,39,No,No
2692645773,No,No,No,True,Yes,179,Yes,No
9891611017,No,No,No,True,No,0,Yes,No
8101045263,No,Yes,Yes,True,Yes,205,No,No
5866057009,No,No,No,True,Yes,200,Yes,FLAG
5175073634,No,No,No,True,Yes,47,No,FLAG
2692916376,Yes,Yes,Yes,True,Yes,380,No,No
9061631650,No,No,No,True,Yes,98,Yes,No
4685538014,No,Yes,Yes,False,Yes,22,No,No
5868843819,No,No,No,True,No,0,No,FLAG
9067003805,No,No,No,True,No,0,No,FLAG
2168378702,No,No,No,False,No,0,Yes,No
9475280296,Yes,Yes,Yes,True,Yes,535,Yes,No
9063022598,No,Yes,Yes,True,Yes,198,Yes,No
9476025465,Yes,Yes,Yes,True,Yes,66,Yes,No
2319584252,Yes,Yes,Yes,True,Yes,319,Yes,No
5867925614,No,No,No,True,No,0,No,FLAG
8106435706,Yes,Yes,Yes,True,No,0,No,No
9891280901,Yes,Yes,No,True,No,0,Yes,No
7343352231,No,No,Yes,True,Yes,17,Yes,No
2318046574,Yes,Yes,Yes,True,No,0,No,No
6162435346,Yes,Yes,Yes,True,Yes,603,Yes,No
9069618580,No,No,No,True,Yes,93,No,No
9477717139,Yes,Yes,Yes,True,No,0,No,FLAG
6169861163,No,Yes,Yes,True,Yes,798,Yes,No
5175489290,Yes,Yes,Yes,True,Yes,521,No,No
2694945770,Yes,Yes,No,True,Yes,27,Yes,No
6169881738,No,No,No,True,Yes,13,No,FLAG
9899691004,Yes,Yes,Yes,True,Yes,529,No,No
8107031074,No,Yes,Yes,True,No,0,No,No
2693652874,No,Yes,Yes,True,Yes,43,Yes,No
2487153123,No,No,No,True,No,0,No,No
7023678160,No,No,No,False,No,0,No,FLAG
2699733877,No,Yes,Yes,True,No,0,No,No
9895560505,No,No,No,True,Yes,790,Yes,FLAG
3131624479,No,Yes,Yes,True,Yes,30,Yes,No
8109134717,Yes,Yes,Yes,True,Yes,135,Yes,No
5175000089,Yes,Yes,Yes,True,Yes,663,No,No
5862038665,No,No,No,True,No,0,Yes,No
3139840688,No,Yes,No,True,No,0,No,FLAG
3133301296,No,No,No,True,Yes,69,No,FLAG
2696283485,Yes,Yes,Yes,True,Yes,680,No,No
2528132573,Yes,Yes,Yes,False,Yes,112,Yes,No
9478371333,No,No,No,True,Yes,41,Yes,FLAG
9066659922,Yes,Yes,No,True,Yes,258,No,No
6166575757,No,Yes,Yes,True,No,0,Yes,No
2488992345,No,No,No,True,No,0,No,FLAG
5945441490,Yes,Yes,Yes,False,Yes,488,Yes,No
5868739122,No,Yes,Yes,True,Yes,63,No,FLAG
2316925054,No,Yes,No,True,No,0,No,No
2312576678,No,No,No,True,Yes,41,No,No
9476792319,No,Yes,Yes,True,Yes,44,No,FLAG
5179456858,No,No,No,True,Yes,35,No,FLAG
2311598211,Yes,Yes,No,True,Yes,538,No,No
5890205202,Yes,Yes,Yes,False,Yes,318,Yes,No
5144361581,No,Yes,No,False,Yes,72,Yes,FLAG
9061077957,Yes,Yes,Yes,True,Yes,737,Yes,No
2316378499,No,No,No,True,Yes,45,No,No
1707824591,Yes,Yes,Yes,False,Yes,47,No,No
2698050811,No,No,No,True,No,0,Yes,No
5176501495,Yes,Yes,Yes,True,Yes,395,No,No
9471187185,Yes,Yes,No,True,Yes,124,No,FLAG
2487962459,Yes,Yes,Yes,True,Yes,556,No,No
2898880258,No,No,No,False,Yes,38,No,No
7341753397,No,No,No,True,No,0,No,FLAG
5862984892,No,No,No,True,No,0,Yes,No
7341740473,No,No,No,True,Yes,96,No,FLAG
9474258596,No,No,Yes,True,Yes,15,No,FLAG
2317565726,No,No,No,True,No,0,No,No
5861687278,No,No,No,True,Yes,27,No,FLAG
7347108608,No,No,No,True,No,0,Yes,FLAG
9897219472,Yes,Yes,Yes,True,Yes,16,No,No
2481604878,Yes,Yes,No,True,Yes,369,No,No
2313732459,No,Yes,Yes,True,Yes,98,No,No
2313616592,No,No,Yes,True,No,0,No,FLAG
8080166956,No,No,No,False,Yes,57,No,No
2486983546,No,Yes,Yes,True,Yes,35,Yes,No
2317555681,Yes,Yes,Yes,True,Yes,25,Yes,No
5175361316,Yes,Yes,Yes,True,No,0,No,No
2487417746,Yes,Yes,Yes,True,Yes,335,No,No
8102064675,No,Yes,Yes,True,Yes,38,No,No
8102320355,No,Yes,Yes,True,No,0,Yes,FLAG
9896925625,No,Yes,Yes,True,No,0,No,FLAG
6166972821,Yes,Yes,Yes,True,Yes,312,No,No
2693120207,No,No,No,True,Yes,49,No,FLAG
3136898882,No,Yes,Yes,True,Yes,30,Yes,No
2695012695,Yes,Yes,Yes,True,Yes,783,No,FLAG
2317144157,No,Yes,Yes,True,No,0,Yes,No
8108790278,Yes,Yes,Yes,True,Yes,267,Yes,No
2609331272,Yes,Yes,Yes,False,Yes,416,No,No
2489624118,No,No,No,True,Yes,83,Yes,FLAG
6168050588,No,No,No,True,Yes,60,No,No
8103983874,No,No,No,True,No,0,No,No
9068222045,Yes,Yes,Yes,True,No,0,No,No
7343678679,No,No,No,True,Yes,65,No,FLAG
8109208655,Yes,Yes,Yes,True,Yes,141,Yes,No
2311293851,No,No,Yes,True,No,0,No,No
2487978503,No,No,No,True,Yes,79,Yes,FLAG
9479440067,No,No,No,True,Yes,97,Yes,FLAG
2485236774,Yes,Yes,No,True,Yes,757,Yes,No
4688900691,Yes,Yes,Yes,False,Yes,41,Yes,No
9516125077,No,Yes,Yes,False,Yes,338,No,No
2149832776,No,Yes,Yes,False,No,0,Yes,No
6168754570,No,No,No,True,No,0,No,FLAG
9897151538,No,No,No,True,Yes,72,Yes,FLAG
9064697088,No,Yes,No,True,Yes,92,Yes,No
3134064841,No,No,No,True,Yes,692,No,No
8102948781,No,Yes,No,True,Yes,25,Yes,FLAG
1699183994,Yes,Yes,Yes,False,Yes,359,No,No
4140283727,No,No,No,False,No,0,Yes,No
6163374475,No,No,No,True,No,0,Yes,No
4350674413,Yes,Yes,No,False,Yes,454,No,FLAG
2692151491,No,No,No,True,No,0,No,FLAG
2693907295,Yes,Yes,Yes,True,Yes,197,No,No
5171654139,No,No,Yes,True,No,0,No,FLAG
2313788600,Yes,Yes,Yes,True,Yes,764,No,No
4120574148,Yes,Yes,Yes,False,No,0,Yes,No
2312020604,No,No,No,True,Yes,42,Yes,FLAG
9896431737,No,Yes,Yes,True,Yes,171,Yes,No
7319678418,No,No,No,False,No,0,No,No
9476554966,No,Yes,Yes,True,Yes,759,No,FLAG
8005632033,No,Yes,No,False,Yes,33,No,No
5865359906,No,Yes,Yes,True,No,0,Yes,No
9895509359,No,No,No,True,Yes,38,Yes,No
9285185931,No,No,No,False,Yes,152,Yes,FLAG
5175166269,Yes,Yes,Yes,True,Yes,518,No,No
9897506717,No,No,No,True,Yes,95,Yes,No
3137161370,No,Yes,No,True,Yes,33,Yes,FLAG
9478471789,Yes,Yes,Yes,True,Yes,99,Yes,No
8108024899,Yes,Yes,Yes,True,Yes,782,Yes,No
8105868737,No,No,No,True,Yes,19,No,FLAG
6166334571,No,No,Yes,True,Yes,38,No,FLAG
7345650696,Yes,Yes,Yes,True,Yes,486,Yes,No
9892634919,Yes,Yes,Yes,True,Yes,142,No,No
9895195466,No,No,No,True,No,0,No,FLAG
2314995802,No,No,No,True,No,0,No,FLAG
7344499726,Yes,Yes,Yes,True,Yes,42,Yes,No
2481295393,No,Yes,Yes,True,Yes,33,Yes,No
6167921839,No,No,Yes,True,No,0,No,FLAG
2316894321,Yes,Yes,Yes,True,Yes,522,Yes,No
6168743365,No,No,No,True,No,0,Yes,No
5769285019,No,No,No,False,Yes,302,No,No
9891631672,Yes,Yes,No,True,Yes,31,No,No
2696041212,No,Yes,Yes,True,Yes,9,No,FLAG
9893997397,No,No,No,True,Yes,351,Yes,FLAG
6168674181,Yes,Yes,Yes,True,Yes,762,No,No
2696176836,No,No,No,True,No,0,Yes,No
1777058401,No,Yes,Yes,False,No,0,Yes,FLAG
6164448137,No,No,No,True,Yes,652,Yes,FLAG
2695352393,No,No,No,True,Yes,96,Yes,No
6165674903,No,No,No,True,No,0,Yes,FLAG
7344515878,No,No,No,True,No,0,Yes,No
8105268776,No,No,No,True,Yes,44,No,FLAG
2395094370,No,Yes,Yes,False,Yes,4,Yes,FLAG
9477898362,Yes,Yes,Yes,True,Yes,618,Yes,No
4198650179,No,No,No,False,No,0,No,FLAG
8101803136,Yes,Yes,Yes,True,Yes,799,No,No
6163719005,No,Yes,No,True,No,0,Yes,FLAG
5862529291,No,No,No,True,No,0,No,FLAG
8872571195,No,Yes,Yes,False,Yes,717,Yes,No
9066855362,No,No,No,True,Yes,73,Yes,No
4056956613,No,Yes,Yes,False,No,0,Yes,FLAG
2698666339,No,No,No,True,Yes,41,Yes,FLAG
9891322724,No,No,No,True,No,0,Yes,FLAG
6083317775,Yes,Yes,Yes,False,Yes,27,Yes,No
5563196551,No,No,No,False,Yes,99,No,FLAG
9473579139,No,No,Yes,True,No,0,No,No
8102558007,Yes,Yes,Yes,True,Yes,670,No,No
3138519007,No,Yes,Yes,True,Yes,71,Yes,No
5864720734,No,No,No,True,No,0,No,FLAG
5175933852,No,No,No,True,Yes,72,Yes,No
8102817957,Yes,Yes,No,True,Yes,91,Yes,No
3152014759,No,Yes,No,False,Yes,27,Yes,FLAG
6169018133,No,No,Yes,True,Yes,23,No,FLAG
9473672195,Yes,Yes,Yes,True,Yes,397,No,No
5398592122,No,No,No,False,Yes,72,No,No
5173955810,No,No,No,True,Yes,17,No,No
9069651263,Yes,Yes,Yes,True,Yes,558,Yes,No
1172031799,No,Yes,Yes,False,No,0,Yes,No
9066069846,Yes,Yes,No,True,Yes,2,Yes,FLAG
8108023482,Yes,Yes,Yes,True,Yes,301,Yes,No
5177177750,No,Yes,Yes,True,Yes,610,Yes,No
9479275324,No,No,No,True,Yes,14,No,FLAG
2691120153,No,No,No,True,No,0,No,No
5177920317,No,No,No,True,Yes,85,Yes,FLAG
2487457696,Yes,Yes,Yes,True,Yes,231,Yes,No
9478633901,Yes,Yes,Yes,True,Yes,687,No,No
5177653688,No,No,No,True,Yes,616,Yes,No
3137884008,No,No,No,True,Yes,91,Yes,FLAG
5862832016,Yes,Yes,Yes,True,Yes,63,Yes,No
9069780238,No,No,No,True,No,0,Yes,No
6161871203,Yes,Yes,Yes,True,Yes,45,No,No
2699809270,No,Yes,No,True,Yes,641,No,No
9477320904,No,No,No,True,No,0,No,FLAG
2315020925,No,No,No,True,No,0,Yes,FLAG
2767254580,No,No,No,False,No,0,Yes,No
9475409388,No,No,No,True,No,0,No,FLAG
2316761452,Yes,Yes,Yes,True,Yes,522,No,No
9061400199,No,No,No,True,No,0,Yes,FLAG
6747777575,Yes,Yes,Yes,False,Yes,19,No,No
2318356899,No,No,Yes,True,Yes,76,Yes,No
3132083604,No,No,No,True,Yes,3,No,FLAG
3139228225,Yes,Yes,Yes,True,Yes,625,No,No
2316025979,No,No,No,True,No,0,No,No
7788812624,No,No,No,False,No,0,Yes,No
3131843721,No,Yes,Yes,True,No,0,Yes,No
3132539819,No,Yes,Yes,True,Yes,82,Yes,No
7341834997,Yes,Yes,Yes,True,Yes,671,No,No
2483301777,No,Yes,Yes,True,Yes,48,Yes,No
5173930121,No,No,No,True,Yes,32,No,FLAG
9063286152,No,Yes,Yes,True,Yes,30,Yes,No
2312274539,No,No,No,True,No,0,Yes,FLAG
9731068887,Yes,Yes,Yes,False,Yes,570,Yes,No
